学期	学号	日期	时间
1	467	1128	122910	
1	467	1210	104123	
1	467	1210	122703	
1	467	1210	184919	
1	467	1212	084258	
1	467	1215	173135	
1	467	1217	102038	
1	467	1219	082957	
1	467	1221	184504	
1	467	1222	094247	
1	467	1222	122527	
1	467	1222	172046	
1	467	1224	083649	
1	467	1226	085415	
1	467	1227	082853	
1	467	1228	164556	
1	467	1228	183624	
1	467	1229	132708	
1	467	1229	202344	
1	467	1230	091811	
1	467	1230	180733	
1	467	0103	115255	
1	467	0104	163516	
1	467	0104	183523	
1	467	0105	091405	
1	467	0105	121239	
1	467	0105	190046	
1	467	0106	181503	
1	467	0107	162657	
1	467	0108	074159	
1	467	0108	175554	
1	467	0109	174804	
1	467	0110	092725	
1	467	0110	153225	
1	467	0110	182552	
1	467	0112	120455	
1	467	0114	164856	
1	467	0114	183414	
1	467	0118	090113	
1	349	0901	085735	
1	283	0901	085750	
1	514	0901	085752	
1	184	0901	085756	
1	81	0901	085802	
1	145	0901	085818	
1	14	0901	085836	
1	338	0901	085839	
1	29	0901	085839	
1	122	0901	085844	
1	244	0901	085851	
1	162	0901	085919	
1	128	0901	085934	
1	306	0901	090027	
1	292	0901	090146	
1	534	0901	090202	
1	208	0901	090355	
1	491	0901	090357	
1	173	0901	090512	
1	322	0901	090514	
1	24	0901	090549	
1	368	0901	090818	
1	117	0901	090822	
1	137	0901	091003	
1	369	0901	091100	
1	185	0901	091448	
1	350	0901	091630	
1	15	0901	091906	
1	451	0901	092027	
1	184	0901	092047	
1	282	0901	092134	
1	412	0901	092215	
1	32	0901	092229	
1	477	0901	092309	
1	423	0901	092453	
1	140	0901	092455	
1	308	0901	092515	
1	249	0901	092517	
1	338	0901	092656	
1	61	0901	092707	
1	536	0901	092748	
1	171	0901	092819	
1	58	0901	092821	
1	442	0901	093405	
1	336	0901	093450	
1	482	0901	093613	
1	234	0901	093936	
1	85	0901	093942	
1	424	0901	094035	
1	276	0901	094340	
1	94	0901	094443	
1	120	0901	094630	
1	212	0901	094648	
1	363	0901	095202	
1	165	0901	095222	
1	134	0901	095334	
1	173	0901	100049	
1	14	0901	100148	
1	29	0901	100152	
1	322	0901	100651	
1	510	0901	100756	
1	130	0901	100953	
1	187	0901	101153	
1	329	0901	101259	
1	139	0901	101336	
1	139	0901	101404	
1	535	0901	101413	
1	494	0901	101742	
1	109	0901	101802	
1	26	0901	102234	
1	327	0901	102237	
1	51	0901	102242	
1	67	0901	102259	
1	434	0901	102335	
1	111	0901	102459	
1	16	0901	102649	
1	502	0901	102935	
1	486	0901	103018	
1	527	0901	103343	
1	447	0901	103652	
1	109	0901	104002	
1	96	0901	104203	
1	504	0901	104530	
1	26	0901	104534	
1	132	0901	104536	
1	254	0901	104621	
1	114	0901	105003	
1	70	0901	105033	
1	355	0901	105036	
1	443	0901	105038	
1	65	0901	105221	
1	502	0901	105425	
1	523	0901	105613	
1	329	0901	105728	
1	207	0901	105745	
1	436	0901	105844	
1	57	0901	110206	
1	110	0901	110216	
1	57	0901	110248	
1	472	0901	110304	
1	363	0901	110344	
1	467	0901	110433	
1	319	0901	110731	
1	519	0901	110903	
1	456	0901	111035	
1	484	0901	111057	
1	363	0901	111058	
1	215	0901	111211	
1	507	0901	111312	
1	275	0901	111351	
1	63	0901	112110	
1	156	0901	112840	
1	300	0901	113239	
1	392	0901	113330	
1	488	0901	114059	
1	215	0901	114134	
1	236	0901	114255	
1	295	0901	114326	
1	156	0901	114944	
1	456	0901	114952	
1	86	0901	115441	
1	169	0901	115625	
1	389	0901	115632	
1	505	0901	121654	
1	371	0901	121656	
1	113	0901	121705	
1	346	0901	121943	
1	388	0901	122058	
1	145	0901	122222	
1	470	0901	123712	
1	446	0901	123756	
1	125	0901	124904	
1	145	0901	125401	
1	145	0901	125718	
1	328	0901	125904	
1	340	0901	125906	
1	517	0901	125915	
1	477	0901	130122	
1	406	0901	130125	
1	89	0901	130316	
1	88	0901	130605	
1	288	0901	130941	
1	145	0901	131052	
1	411	0901	131131	
1	119	0901	131455	
1	414	0901	131514	
