学期	学号	书号	日期
1	246	2731309	0903	
1	453	2731311	0903	
1	514	2676771	0904	
1	514	2632841	0904	
1	514	1407088	0904	
1	514	1529325	0904	
1	514	2610977	0904	
1	41	2853664	0904	
1	41	1443271	0904	
1	16	2012297	0905	
1	290	2820937	0905	
1	290	2672441	0905	
1	16	2876122	0905	
1	16	2798839	0905	
1	132	2676770	0905	
1	132	2709688	0905	
1	28	2801169	0906	
1	28	1358347	0906	
1	481	2785848	0906	
1	481	2629717	0906	
1	150	2671701	0906	
1	132	2924183	0906	
1	132	2842261	0906	
1	132	2912235	0906	
1	468	1401278	0906	
1	68	1510611	0906	
1	537	2855882	0906	
1	537	2855884	0906	
1	537	1173144	0906	
1	21	2563285	0906	
1	372	2829698	0906	
1	290	1112284	0907	
1	290	2908820	0907	
1	290	1112284	0907	
1	290	1010839	0907	
1	290	1010839	0907	
1	290	2808875	0907	
1	245	1433321	0907	
1	362	2883752	0907	
1	204	2640957	0907	
1	457	2867689	0907	
1	457	2720717	0907	
1	457	2635331	0907	
1	480	1433861	0907	
1	457	1433864	0907	
1	529	1433860	0907	
1	457	1170196	0907	
1	150	1211166	0908	
1	150	1327172	0908	
1	327	1423945	0908	
1	468	1295285	0908	
1	361	2728737	0909	
1	361	1349786	0909	
1	5	1004032	0909	
1	5	1004032	0909	
1	5	1004032	0909	
1	5	2899043	0909	
1	481	1452685	0909	
1	40	2917894	0909	
1	40	2869822	0909	
1	19	1173011	0909	
1	19	1437082	0909	
1	446	2775129	0909	
1	446	2573201	0909	
1	446	2831183	0909	
1	455	2607899	0909	
1	455	2932968	0909	
1	455	2894491	0909	
1	231	1316492	0909	
1	310	2761927	0909	
1	89	1457807	0909	
1	89	1457804	0909	
1	89	1457799	0909	
1	204	1029866	0909	
1	204	2846992	0909	
1	204	1529410	0909	
1	459	1029867	0909	
1	459	2842177	0909	
1	459	2844619	0909	
1	529	1365257	0909	
1	145	1319163	0909	
1	145	2659076	0909	
1	145	1272666	0909	
1	406	1288554	0909	
1	406	2837200	0909	
1	406	1550230	0909	
1	268	2702537	0909	
1	318	1091550	0909	
1	318	1091551	0909	
1	392	1507227	0909	
1	326	1330146	0909	
1	326	1282411	0909	
1	326	1273090	0909	
1	258	1419388	0909	
1	258	2229806	0909	
1	263	1461496	0909	
1	6	2856462	0909	
1	6	2801506	0909	
1	135	2796400	0909	
1	135	2801508	0909	
1	337	2884474	0909	
1	65	2931718	0909	
1	65	1165354	0909	
1	65	2725945	0909	
1	65	1329763	0909	
1	414	1261111	0909	
1	414	1410252	0909	
1	414	2831387	0909	
1	414	1259028	0909	
1	481	1318562	0909	
1	481	2670376	0909	
1	355	1156163	0909	
1	355	2856787	0909	
1	355	2934651	0909	
1	355	1089819	0909	
1	70	1500298	0909	
1	119	2825973	0909	
1	220	1364549	0909	
1	220	1190709	0909	
1	220	2925262	0909	
1	337	2642315	0909	
1	384	2867663	0909	
1	384	2918050	0909	
1	384	2867665	0909	
1	355	1291557	0909	
1	355	2237719	0909	
1	70	1138381	0909	
1	384	1506764	0909	
1	384	1188935	0909	
1	152	2826681	0909	
1	152	1491352	0909	
1	422	2884617	0909	
1	481	1495202	0909	
1	125	1162444	0909	
1	125	1440248	0909	
1	187	2929912	0909	
1	187	1248828	0909	
1	179	1277423	0909	
1	70	2708552	0909	
1	355	1299252	0909	
1	405	2797583	0909	
1	405	2836131	0909	
1	246	1520365	0909	
1	349	2690232	0909	
1	349	1366089	0909	
1	349	2210910	0909	
1	349	1034621	0909	
1	429	1559180	0909	
1	432	1521373	0909	
1	105	2664223	0909	
1	159	2915129	0909	
1	432	1013454	0909	
1	432	1013454	0909	
1	432	1013454	0909	
1	432	1006471	0909	
1	432	1006471	0909	
1	432	1006471	0909	
1	71	2755326	0909	
1	145	1121012	0910	
1	277	2823240	0910	
1	277	1334408	0910	
1	277	1334403	0910	
1	150	1321362	0910	
1	150	2934301	0910	
1	150	2936878	0910	
1	496	2462087	0910	
1	496	2460769	0910	
1	496	2460745	0910	
1	496	2462145	0910	
1	176	2206474	0911	
1	176	2572672	0911	
1	176	2753842	0911	
1	65	2732008	0911	
1	368	2820416	0911	
1	368	2228927	0911	
1	368	2661994	0911	
1	485	2740650	0911	
1	246	2881950	0911	
1	70	1037249	0911	
1	70	1037248	0911	
1	70	1037253	0911	
1	70	1037256	0911	
1	125	2928304	0912	
1	167	1288701	0912	
1	15	1237715	0912	
1	15	2610166	0912	
