学期	学号	排名
1	1	413	
1	2	512	
1	3	419	
1	4	241	
1	5	128	
1	157	515	
1	6	259	
1	7	250	
1	8	52	
1	9	398	
1	10	483	
1	11	198	
1	12	422	
1	13	212	
1	14	356	
1	15	143	
1	16	103	
1	17	368	
1	18	6	
1	19	202	
1	389	104	
1	21	348	
1	22	205	
1	23	342	
1	24	174	
1	25	208	
1	26	63	
1	27	170	
1	28	363	
1	29	175	
1	30	365	
1	31	184	
1	32	332	
1	33	479	
1	34	71	
1	35	320	
1	36	164	
1	37	23	
1	38	242	
1	39	192	
1	40	245	
1	41	15	
1	42	459	
1	43	309	
1	44	140	
1	45	477	
1	73	421	
1	47	310	
1	48	150	
1	49	31	
1	50	162	
1	51	2	
1	52	516	
1	53	274	
1	54	445	
1	55	416	
1	56	30	
1	57	120	
1	58	249	
1	59	113	
1	61	385	
1	62	219	
1	63	209	
1	64	508	
1	20	399	
1	66	489	
1	67	405	
1	68	211	
1	69	283	
1	70	430	
1	71	141	
1	72	284	
1	336	412	
1	465	240	
1	75	85	
1	279	351	
1	77	380	
1	78	69	
1	79	327	
1	80	285	
1	521	396	
1	82	166	
1	83	518	
1	84	387	
1	85	431	
1	86	36	
1	87	51	
1	89	457	
1	90	425	
1	91	476	
1	92	392	
1	94	135	
1	398	535	
1	284	456	
1	96	56	
1	97	293	
1	98	187	
1	99	54	
1	100	216	
1	101	329	
1	102	372	
1	103	533	
1	104	286	
1	105	173	
1	106	126	
1	136	402	
1	107	338	
1	108	464	
1	109	391	
1	110	321	
1	111	254	
1	112	447	
1	113	67	
1	114	11	
1	115	461	
1	116	437	
1	117	400	
1	118	203	
1	119	311	
1	120	153	
1	121	43	
1	469	301	
1	123	454	
1	124	527	
1	217	296	
1	126	473	
1	127	204	
1	128	200	
1	249	420	
1	130	317	
1	256	39	
1	132	12	
1	133	22	
1	134	361	
1	135	118	
1	300	262	
1	137	44	
1	138	295	
1	139	171	
1	140	144	
1	141	108	
1	142	76	
1	143	55	
1	144	86	
1	145	50	
1	146	167	
1	147	478	
1	395	32	
1	149	232	
1	150	35	
1	151	10	
1	152	99	
1	153	42	
1	154	493	
1	155	278	
1	156	360	
1	454	264	
1	158	350	
1	159	34	
1	160	281	
1	161	451	
1	162	414	
1	163	374	
1	164	112	
1	165	206	
1	166	214	
1	167	440	
1	168	163	
1	528	53	
1	170	525	
1	171	13	
1	172	251	
1	173	389	
1	174	474	
1	175	339	
1	176	220	
1	177	531	
1	178	362	
1	179	230	
1	180	237	
1	181	151	
1	182	289	
1	74	334	
1	184	381	
1	185	466	
1	186	188	
1	187	227	
1	188	325	
1	189	66	
1	190	19	
1	482	49	
1	192	517	
1	193	530	
1	194	306	
1	195	355	
1	196	101	
1	197	452	
1	198	475	
1	199	388	
1	200	57	
1	201	429	
1	202	536	
1	203	268	
1	204	383	
1	205	9	
1	206	131	
1	65	506	
1	207	290	
1	208	105	
1	209	5	
1	210	504	
1	211	524	
1	212	70	
1	213	38	
1	214	248	
1	215	58	
1	216	299	
1	125	89	
1	218	133	
1	485	514	
1	220	487	
1	221	496	
1	222	178	
1	223	16	
1	224	146	
1	225	136	
1	226	45	
1	227	484	
1	228	96	
1	230	408	
1	231	469	
1	232	307	
1	233	434	
1	234	90	
1	235	60	
1	236	490	
1	237	73	
1	238	8	
1	239	252	
1	240	157	
1	241	406	
1	242	189	
1	308	382	
1	244	231	
1	245	24	
1	246	195	
1	247	1	
1	248	48	
1	129	439	
1	250	410	
1	472	495	
1	252	438	
1	253	442	
1	254	161	
1	255	322	
1	257	502	
1	258	196	
1	502	315	
1	402	520	
1	260	224	
1	261	228	
1	262	129	
1	529	37	
1	536	33	
1	265	364	
1	266	265	
1	267	378	
1	268	116	
1	269	80	
1	270	21	
1	271	384	
1	272	95	
1	273	302	
1	274	379	
1	60	65	
1	276	172	
1	277	435	
1	278	538	
1	76	78	
1	280	358	
1	281	298	
1	282	124	
1	283	460	
1	95	403	
1	285	377	
1	286	269	
1	287	323	
1	288	373	
1	289	59	
1	290	426	
1	291	29	
1	292	125	
1	293	64	
1	294	494	
1	295	279	
1	296	353	
1	297	27	
1	298	94	
1	299	341	
1	93	375	
1	301	158	
1	302	326	
1	303	18	
1	304	513	
1	305	179	
1	306	168	
1	307	282	
1	243	246	
1	309	207	
1	310	340	
1	311	330	
1	312	529	
1	407	407	
1	313	225	
1	314	532	
1	315	528	
1	316	243	
1	317	423	
1	318	271	
1	319	255	
1	320	395	
1	321	88	
1	322	74	
1	498	427	
1	324	152	
1	325	313	
1	326	210	
1	46	441	
